date,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,month
05/01/2014 12:00:00 AM,1912.48,383.47,180.99,669.93,216,531.46,168.22,68.84,0,68.84,4,May
03/01/2017 12:00:00 AM,2333.42,379.01,166.74,333.27,363,822.67,237.72,73.5,22.4,95.9,5.82,March
10/01/2013 12:00:00 AM,1790.98,433.48,123.26,463.92,184,562.06,236.64,41.86,0,41.86,4.46,October
01/01/2013 12:00:00 AM,1735.06,361.51,157.56,451.86,138,564.1,172.92,61.94,0,61.94,3.62,January
11/01/2016 12:00:00 AM,2163.72,384.7,175.84,284.18,341,753.24,223.64,143.98,26.24,170.22,11.38,November
07/01/2010 12:00:00 AM,1245.02,357.7,133.46,506.88,165,521.9,138.77,22.92,0,22.92,3.83,July
03/01/2012 12:00:00 AM,1678.14,363.16,169.02,445.66,301,517.28,190.14,32.36,0,32.36,3.58,March
07/01/2017 12:00:00 AM,2208.52,311.1,146.46,262.3,400,714.26,219.2,44.32,12.96,57.28,5.06,July
12/01/2011 12:00:00 AM,1650.24,357.26,164.56,487.92,183,568.04,307.1,37.52,0,37.52,8.4,December
04/01/2018 12:00:00 AM,2379.96,239.94,148.1,332.56,513,938.92,66.04,72.62,15.78,88.4,9.72,April
05/01/2011 12:00:00 AM,1567.16,353.88,180.94,704.78,186,539.1,200.22,28.3,0,28.3,6.16,May
11/01/2012 12:00:00 AM,1760.86,374.91,143.52,356.86,191,511.96,186.04,81.84,0,81.84,7.56,November
10/01/2018 12:00:00 AM,2697.46,186.46,154.82,256.23,403,970.94,68.46,72.44,18.98,91.42,9.48,October
07/01/2012 12:00:00 AM,1669.32,330.06,145.72,399.46,251,449.54,164.5,25.42,0,25.42,3.16,July
09/01/2015 12:00:00 AM,2028.04,296.48,143.37,281.9,387,611.64,208.36,34.14,21.98,56.12,5.54,September
04/01/2013 12:00:00 AM,1752.37,349.78,114.28,466.3,123,487.56,194.7,48.1,0,48.1,4.34,April
10/01/2017 12:00:00 AM,2507.5,273.49,140.28,329.02,260,787.96,197.64,64.36,15.02,79.38,9.62,October
01/01/2016 12:00:00 AM,1987.13,295.7,170.68,296.44,357,715,176.38,33.3,17.36,50.66,3.6,January
07/01/2009 12:00:00 AM,1405.98,389.32,149.02,605.42,125,397.68,181.8,16.26,0,16.26,3.18,July
03/01/2013 12:00:00 AM,1669.94,382.81,126.38,373.76,149,518,174.8,43.44,0,43.44,2.44,March
09/01/2013 12:00:00 AM,2026.2,241.03,200.91,409.92,146,515.04,182.22,48.86,0,48.86,5.2,September
07/01/2013 12:00:00 AM,1813.02,399.62,117.92,441.99,116,555.58,217.61,35.36,0,35.36,2.92,July
10/01/2010 12:00:00 AM,1630.89,370.74,125.62,459.42,141,562,195.72,25.58,0,25.58,2.96,October
01/01/2017 12:00:00 AM,2196.99,357.76,130.42,309.97,396,759.02,212.24,39.04,34.66,73.7,5.92,January
05/01/2013 12:00:00 AM,1737.86,388.48,163.96,623.56,134,480.34,187,46.18,0,46.18,3.14,May
04/01/2017 12:00:00 AM,2037.14,365.08,107.44,317.96,315,701.48,196.04,58,14.26,72.26,10.58,April
01/01/2018 12:00:00 AM,2558.41,236.52,153.2,308.76,400,876.58,155.22,76.9,13.46,90.36,8.8,January
11/01/2011 12:00:00 AM,1716.64,371.76,155.18,464.62,175,564.82,242.7,76.86,0,76.86,8.4,November
12/01/2013 12:00:00 AM,1876.5,455.87,117,391.98,163,605.46,298.72,41.12,0,41.12,4.24,December
04/01/2011 12:00:00 AM,1557.64,320,148.86,533.26,198,402.57,183.96,23.64,0,23.64,4.14,April
12/01/2017 12:00:00 AM,2472.72,266.22,157.22,332.04,400,877.48,176.26,78.46,13.76,92.22,18.28,December
08/01/2013 12:00:00 AM,1757.26,404.82,100,290.22,221,537.28,190.51,42.28,0,42.28,2.74,August
10/01/2016 12:00:00 AM,2117.99,351.84,160.28,402.28,251,655.44,205.06,43.46,20.94,64.4,10.72,October
02/01/2012 12:00:00 AM,1605.88,321.18,166.04,544.54,319,493.22,185.69,26.6,0,26.6,3.26,February
03/01/2010 12:00:00 AM,1753.64,391.2,162.76,874.02,130,599.26,187.76,21.88,0,21.88,3.89,March
09/01/2012 12:00:00 AM,1473.22,306.33,124.15,399.56,217,468.8,176.76,33.54,0,33.54,3.22,September
09/01/2017 12:00:00 AM,2553.79,233.68,128.46,251.68,433,718.06,193.78,65.64,15.2,80.84,4.38,September
07/01/2016 12:00:00 AM,1993.94,299.38,155.34,282.88,251,642.76,228.58,27.42,36.9,64.32,3.94,July
07/01/2018 12:00:00 AM,2404.8,225.38,149.3,241.14,411,909.61,64.58,53.36,15.06,68.42,7.76,July
07/01/2014 12:00:00 AM,1955.66,466.9,144.28,380.88,285,547.94,149.28,68.16,0,68.16,3.74,July
12/01/2014 12:00:00 AM,2162.64,383.96,142.72,374.36,287,677.48,200.42,77.46,0,77.46,3.7,December
03/01/2011 12:00:00 AM,1704.54,363.28,145.96,516.3,241,606.94,195.62,27.64,0,27.64,4.82,March
04/01/2012 12:00:00 AM,1580.1,346.11,161.24,534.84,176,465.78,171.54,30.12,0,30.12,4,April
11/01/2013 12:00:00 AM,1730.5,447.41,106.18,367.92,171,556.72,204.7,77.46,0,77.46,6.74,November
03/01/2015 12:00:00 AM,2020.24,417.03,190.92,404.22,301,617.52,167.46,87.9,0,87.9,3.82,March
08/01/2017 12:00:00 AM,2353.64,269.06,133.84,220.26,365,752.82,217.28,47.24,14.56,61.8,6.36,August
04/01/2016 12:00:00 AM,2051.1,302.5,172.09,336.86,256,672.57,189,23.06,28.68,51.74,5.28,April
08/01/2015 12:00:00 AM,1952.66,324.3,246.5,243.12,362,582.36,173.4,75.6,15.18,90.78,2.84,August
01/01/2011 12:00:00 AM,1660.16,271.98,161.84,417.94,230,558.52,168.62,21.7,0,21.7,2.72,January
05/01/2010 12:00:00 AM,1552.58,328.88,134.02,743.76,102,499.72,177.86,17.84,0,17.84,2.52,May
04/01/2009 12:00:00 AM,1304.31,316.02,136.3,494.1,21,418.33,162.76,8.62,0,8.62,2.93,April
02/01/2013 12:00:00 AM,2173.34,367.54,147.92,348.9,197,502.66,160.5,32.72,0,32.72,3.88,February
11/01/2010 12:00:00 AM,1811.23,373.54,152.41,426.96,137,586.54,212.14,73.1,0,73.1,8.24,November
08/01/2016 12:00:00 AM,2244.62,314.82,148.72,249.12,285,662.92,213.28,48.1,20.76,68.86,3.3,August
02/01/2014 12:00:00 AM,1785.6,391.3,122.72,380.1,193,549.18,135.66,65.72,0,65.72,3.34,February
09/01/2009 12:00:00 AM,1505.93,407.46,140.28,617.1,125,485.76,175.19,12.66,0,12.66,2.89,September
08/01/2012 12:00:00 AM,1645.42,329.58,134.72,406.9,264,520.48,198.26,29.8,0,29.8,4.2,August
